date,rf
2021-10-13,2.36142596792277e-05
2021-10-14,1.3890412975392508e-06
2021-10-15,1.3890393681936786e-06
2021-10-18,-1.9168663402346908e-05
2021-10-19,2.1947151259915643e-05
2021-10-20,1.3890297210217284e-06
2021-10-21,-1.833516685001424e-05
2021-10-22,1.6668639122308093e-06
2021-10-25,1.666855576898385e-06
2021-10-26,1.6668527986762882e-06
2021-10-27,1.6668500202321468e-06
2021-10-28,1.6668472417880054e-06
2021-10-29,1.9168711329342614e-05
2021-11-01,1.3890663805860015e-06
2021-11-02,1.3890644512404293e-06
2021-11-03,1.3890625216728125e-06
2021-11-04,2.5836527015377087e-05
2021-11-05,-2.305781009692698e-05
2021-11-08,-2.1947035413916183e-05
2021-11-09,4.7784467603229075e-05
2021-11-10,-2.166866499908604e-05
2021-11-11,1.389047085798012e-06
2021-11-12,1.3890451564524398e-06
2021-11-15,1.3890393681936786e-06
2021-11-16,1.3890374386260618e-06
2021-11-17,1.3890355092804896e-06
2021-11-18,1.3890335799349174e-06
2021-11-19,1.3890316505893452e-06
2021-11-22,1.389025862330584e-06
2021-11-23,-1.777950634085368e-05
2021-11-24,1.6668583553425265e-06
2021-11-26,1.6668527986762882e-06
2021-11-29,1.6668444635659085e-06
2021-11-30,1.8890872430565864e-05
2021-12-01,-2.333625036454734e-05
2021-12-02,2.6114984833958133e-05
2021-12-03,-2.278056206883594e-05
2021-12-06,1.6669028111149231e-06
2021-12-07,1.6669000326707817e-06
2021-12-08,-2.1114031885427487e-05
2021-12-09,2.444834259662798e-05
2021-12-10,1.6668916971163128e-06
2021-12-13,2.3058553167532025e-05
2021-12-14,1.3890374386260618e-06
2021-12-15,-1.944649713025992e-05
2021-12-16,2.2225000347431134e-05
2021-12-17,1.3890316505893452e-06
2021-12-20,-3.7503698281371456e-05
2021-12-21,1.9447091410551565e-06
2021-12-22,-1.694671812901838e-05
2021-12-23,2.2225580753598706e-06
2021-12-27,3.72275168023517e-05
2021-12-28,1.6668416851217671e-06
2021-12-29,1.861303445793716e-05
2021-12-30,1.3890065686528175e-06
2021-12-31,-1.5001250104118569e-05
2022-01-03,-7.084372374621672e-05
2022-01-04,2.6394629720760676e-05
2022-01-05,-2.1392977324508067e-05
2022-01-06,-2.0837761357639373e-05
2022-01-07,2.778426076988083e-06
2022-01-10,-6.390326712402139e-05
2022-01-11,2.5562940404899592e-05
2022-01-12,3.33421134235401e-06
2022-01-13,3.3342002254688197e-06
2022-01-14,-1.7782341912186972e-05
2022-01-18,-7.640903115868625e-05
2022-01-19,4.7238283238382195e-06
2022-01-20,-1.4727159911465115e-05
2022-01-21,2.417512796126786e-05
2022-01-24,-5.0293690142533265e-05
2022-01-25,5.557593339755584e-06
2022-01-26,2.334176230300855e-05
2022-01-27,-1.2226352012145725e-05
2022-01-28,2.2785752791021352e-05
2022-01-31,-7.669095213480581e-05
2022-02-01,0.00010450645160564598
2022-02-02,5.558272933470221e-06
2022-02-03,-1.834219872953735e-05
2022-02-04,-4.140966273624702e-05
2022-02-07,-0.00010755703510556547
2022-02-08,3.029710059521129e-05
2022-02-09,7.504559019544388e-06
2022-02-10,-0.00029990216352027144
2022-02-11,9.814385776540924e-05
2022-02-14,-0.00015651114148029777
2022-02-15,9.481110763553957e-05
2022-02-16,5.1988258993773684e-05
2022-02-17,5.087356584509983e-05
2022-02-18,4.9759043914798795e-05
2022-02-22,-6.476503910912701e-05
2022-02-23,6.58811520695135e-05
2022-02-24,6.420904463610988e-05
2022-02-25,9.172131728352184e-06
2022-02-28,-5.864444070158292e-05
2022-03-01,0.00013679601489857696
